User,User Category,Medicine Name,Category,Stock,Restock Frequency,Supplier Reliability,disease_score_1,disease_score_2,disease_score_3
User_1,Hospital,Propylthiouracil,Endocrine,367,23,0.7761746241803034,,,
User_1,Hospital,Methimazole,Endocrine,317,13,0.8491745517677156,,,
User_1,Hospital,Fluoxetine,Psychiatric,162,11,0.7854521483132403,,,
User_1,Hospital,Sertraline,Psychiatric,130,23,0.9929844867497959,,,
User_1,Hospital,Diazepam,Psychiatric,269,28,0.7099152198701645,,,
User_1,Hospital,Lorazepam,Psychiatric,273,7,0.8903054034104091,,,
User_1,Hospital,Alprazolam,Psychiatric,175,8,0.8592803749951409,,,
User_1,Hospital,Haloperidol,Psychiatric,267,12,0.7726165814534501,,,
User_1,Hospital,Risperidone,Psychiatric,373,29,0.9284858845986153,,,
User_1,Hospital,Omeprazole,Gastrointestinal,172,23,0.9184649045835579,,,
User_1,Hospital,Ranitidine,Gastrointestinal,329,11,0.8896917491780738,,,
User_1,Hospital,Pantoprazole,Gastrointestinal,247,28,0.8607324052224276,,,
User_1,Hospital,Esomeprazole,Gastrointestinal,289,22,0.9505907486767714,,,
User_1,Hospital,Lansoprazole,Gastrointestinal,173,12,0.9087438420372645,,,
User_2,Apotics,Paracetamol,Painkiller,308,26,0.7977876715605654,,,
User_2,Apotics,Ibuprofen,Painkiller,469,25,0.9133448597314053,,,
User_2,Apotics,Aspirin,Painkiller,196,26,0.8935518371228349,,,
User_2,Apotics,Naproxen,Painkiller,357,15,0.9072813214307398,,,
User_2,Apotics,Ketoprofen,Painkiller,177,13,0.9810189966210203,,,
User_2,Apotics,Amoxicillin,Antibiotic,178,17,0.8023199053150776,,,
User_2,Apotics,Azithromycin,Antibiotic,483,29,0.8624343921482698,,,
User_2,Apotics,Ciprofloxacin,Antibiotic,347,9,0.7685650065391899,,,
User_2,Apotics,Doxycycline,Antibiotic,193,22,0.8665602434798387,,,
User_2,Apotics,Clindamycin,Antibiotic,109,23,0.7725556872701355,,,
User_2,Apotics,Oseltamivir,Antiviral,353,18,0.8674880360821293,,,
User_2,Apotics,Acyclovir,Antiviral,209,29,0.8017089373146101,,,
User_2,Apotics,Remdesivir,Antiviral,148,25,0.9177867036610718,,,
User_2,Apotics,Favipiravir,Antiviral,180,26,0.9661259272795352,,,
User_2,Apotics,Zanamivir,Antiviral,169,7,0.8926094938462863,,,
User_2,Apotics,Metformin,Diabetes,124,23,0.7484886142283841,,,
User_2,Apotics,Insulin,Diabetes,471,14,0.881928717897877,,,
User_2,Apotics,Glipizide,Diabetes,276,22,0.7304414628598096,,,
User_2,Apotics,Sitagliptin,Diabetes,148,24,0.7482424154252496,,,
User_2,Apotics,Pioglitazone,Diabetes,387,8,0.907568559307808,,,
User_2,Apotics,Atorvastatin,Cardiovascular,257,15,0.7527775758032036,,,
User_2,Apotics,Simvastatin,Cardiovascular,117,7,0.8481681145550304,,,
User_2,Apotics,Lisinopril,Cardiovascular,353,26,0.8099406353748579,,,
User_2,Apotics,Amlodipine,Cardiovascular,441,13,0.9162819772756388,,,
User_2,Apotics,Losartan,Cardiovascular,177,7,0.8627620691664698,,,
User_2,Apotics,Furosemide,Cardiovascular,492,25,0.8908997854557685,,,
User_2,Apotics,Hydrochlorothiazide,Cardiovascular,71,20,0.8769612542681632,,,
User_2,Apotics,Spironolactone,Cardiovascular,279,19,0.8460226458878365,,,
User_2,Apotics,Warfarin,Cardiovascular,313,8,0.8050235223084027,,,
User_2,Apotics,Clopidogrel,Cardiovascular,146,21,0.8477553081456591,,,
User_2,Apotics,Dexamethasone,Immunosuppressant,366,22,0.7842317087322567,,,
User_2,Apotics,Prednisone,Immunosuppressant,84,23,0.7130811315263301,,,
User_2,Apotics,Hydrocortisone,Immunosuppressant,221,20,0.9744593170661345,,,
User_2,Apotics,Methotrexate,Immunosuppressant,148,15,0.985921554107186,,,
User_2,Apotics,Mycophenolate,Immunosuppressant,398,23,0.8658294900506469,,,
User_2,Apotics,Levothyroxine,Endocrine,144,9,0.9940994751148138,,,
User_2,Apotics,Propylthiouracil,Endocrine,165,27,0.7572733093451037,,,
User_2,Apotics,Methimazole,Endocrine,210,9,0.7508478240058277,,,
User_2,Apotics,Fluoxetine,Psychiatric,330,16,0.9808464322482343,,,
User_2,Apotics,Sertraline,Psychiatric,107,9,0.8710183510268095,,,
User_2,Apotics,Diazepam,Psychiatric,329,24,0.8845021680097509,,,
User_2,Apotics,Lorazepam,Psychiatric,391,29,0.7420252045709572,,,
User_2,Apotics,Alprazolam,Psychiatric,204,16,0.9632119215783866,,,
User_2,Apotics,Haloperidol,Psychiatric,322,14,0.9091047222985804,,,
User_2,Apotics,Risperidone,Psychiatric,348,28,0.8078473453659265,,,
User_2,Apotics,Omeprazole,Gastrointestinal,219,29,0.8259342569338829,,,
User_2,Apotics,Ranitidine,Gastrointestinal,355,19,0.724478254120072,,,
User_2,Apotics,Pantoprazole,Gastrointestinal,440,10,0.9394885536900326,,,
User_2,Apotics,Esomeprazole,Gastrointestinal,370,14,0.910590063177311,,,
User_2,Apotics,Lansoprazole,Gastrointestinal,449,20,0.9670016025452699,,,
User_3,Hospital,Paracetamol,Painkiller,192,8,0.7281945819522606,,,
User_3,Hospital,Ibuprofen,Painkiller,264,28,0.7984458002424195,,,
User_3,Hospital,Aspirin,Painkiller,235,28,0.8772499781707033,,,
User_3,Hospital,Naproxen,Painkiller,391,23,0.7112044566247643,,,
User_3,Hospital,Ketoprofen,Painkiller,375,21,0.8080571924233788,,,
User_3,Hospital,Amoxicillin,Antibiotic,493,11,0.8566729780164413,,,
User_3,Hospital,Azithromycin,Antibiotic,102,18,0.9895755491172309,,,
User_3,Hospital,Ciprofloxacin,Antibiotic,152,10,0.9526069225035945,,,
User_3,Hospital,Doxycycline,Antibiotic,421,21,0.9098536632301581,,,
User_3,Hospital,Clindamycin,Antibiotic,473,26,0.7398236266728909,,,
User_3,Hospital,Oseltamivir,Antiviral,419,16,0.7968869418823737,,,
User_3,Hospital,Acyclovir,Antiviral,194,25,0.8316914262116908,,,
User_3,Hospital,Remdesivir,Antiviral,488,11,0.755300102299411,,,
User_3,Hospital,Favipiravir,Antiviral,367,29,0.8284943424820324,,,
User_3,Hospital,Zanamivir,Antiviral,445,27,0.7174580786525331,,,
User_3,Hospital,Metformin,Diabetes,171,7,0.8327056689193313,,,
User_3,Hospital,Insulin,Diabetes,145,28,0.9143787768100187,,,
User_3,Hospital,Glipizide,Diabetes,286,27,0.8914811781530051,,,
User_3,Hospital,Sitagliptin,Diabetes,238,13,0.89713339855005,,,
User_3,Hospital,Pioglitazone,Diabetes,118,28,0.9190117949685456,,,
User_3,Hospital,Atorvastatin,Cardiovascular,125,22,0.7475939342927472,,,
User_3,Hospital,Simvastatin,Cardiovascular,135,20,0.7275397197440325,,,
User_3,Hospital,Lisinopril,Cardiovascular,96,23,0.7934239928173882,,,
User_3,Hospital,Amlodipine,Cardiovascular,495,26,0.7525990809668015,,,
User_3,Hospital,Losartan,Cardiovascular,449,22,0.9420738931152338,,,
User_3,Hospital,Furosemide,Cardiovascular,149,7,0.8394021438818834,,,
User_3,Hospital,Hydrochlorothiazide,Cardiovascular,406,29,0.7144176772591101,,,
User_3,Hospital,Spironolactone,Cardiovascular,295,11,0.9660041161894143,,,
User_3,Hospital,Warfarin,Cardiovascular,229,16,0.8877579747142709,,,
User_3,Hospital,Clopidogrel,Cardiovascular,491,7,0.8618132345200187,,,
User_3,Hospital,Dexamethasone,Immunosuppressant,53,22,0.7211706242201289,,,
User_3,Hospital,Prednisone,Immunosuppressant,296,8,0.7079533931624865,,,
User_3,Hospital,Hydrocortisone,Immunosuppressant,433,26,0.8726422533627637,,,
User_3,Hospital,Methotrexate,Immunosuppressant,227,9,0.892986465532706,,,
User_3,Hospital,Mycophenolate,Immunosuppressant,466,25,0.9461918427231866,,,
User_3,Hospital,Levothyroxine,Endocrine,317,9,0.9461280531313804,,,
User_3,Hospital,Propylthiouracil,Endocrine,217,16,0.7620053079630236,,,
User_3,Hospital,Methimazole,Endocrine,334,19,0.7643767359125122,,,
User_3,Hospital,Fluoxetine,Psychiatric,351,8,0.71168893969307,,,
User_3,Hospital,Sertraline,Psychiatric,291,9,0.8009662644666179,,,
User_3,Hospital,Diazepam,Psychiatric,139,14,0.8156189862896694,,,
User_3,Hospital,Lorazepam,Psychiatric,139,8,0.7782083584707709,,,
User_3,Hospital,Alprazolam,Psychiatric,440,10,0.9078671076075818,,,
User_3,Hospital,Haloperidol,Psychiatric,163,19,0.9809944455567121,,,
User_3,Hospital,Risperidone,Psychiatric,425,10,0.8253838095146736,,,
User_3,Hospital,Omeprazole,Gastrointestinal,298,10,0.7532318631339168,,,
User_3,Hospital,Ranitidine,Gastrointestinal,457,9,0.997151542600202,,,
User_3,Hospital,Pantoprazole,Gastrointestinal,85,24,0.7750049347648313,,,
User_3,Hospital,Esomeprazole,Gastrointestinal,145,29,0.9792271976810694,,,
User_3,Hospital,Lansoprazole,Gastrointestinal,86,18,0.8286982082125055,,,
User_4,Hospital,Paracetamol,Painkiller,62,29,0.9263628622254048,,,
User_4,Hospital,Ibuprofen,Painkiller,410,23,0.8602982420591689,,,
User_4,Hospital,Aspirin,Painkiller,133,22,0.816885425865761,,,
User_4,Hospital,Naproxen,Painkiller,446,25,0.8167605036202489,,,
User_4,Hospital,Ketoprofen,Painkiller,445,15,0.954142943228677,,,
User_4,Hospital,Amoxicillin,Antibiotic,314,13,0.9870402655379369,,,
User_4,Hospital,Azithromycin,Antibiotic,272,26,0.8720313664369859,,,
User_4,Hospital,Ciprofloxacin,Antibiotic,416,22,0.8345336565934959,,,
User_4,Hospital,Doxycycline,Antibiotic,148,18,0.7985993636109747,,,
User_4,Hospital,Clindamycin,Antibiotic,428,27,0.925712358831304,,,
User_4,Hospital,Oseltamivir,Antiviral,200,22,0.9368854428383662,,,
User_4,Hospital,Acyclovir,Antiviral,158,27,0.8483260914107744,,,
User_4,Hospital,Remdesivir,Antiviral,472,20,0.8648586646971206,,,
User_4,Hospital,Favipiravir,Antiviral,182,9,0.9663112548274899,,,
User_4,Hospital,Zanamivir,Antiviral,284,17,0.7351201049282817,,,
User_4,Hospital,Metformin,Diabetes,125,15,0.9284531895152417,,,
User_4,Hospital,Insulin,Diabetes,450,12,0.7252320418344992,,,
User_4,Hospital,Glipizide,Diabetes,190,14,0.721828901909258,,,
User_4,Hospital,Sitagliptin,Diabetes,483,8,0.7244046341925698,,,
User_4,Hospital,Pioglitazone,Diabetes,214,12,0.9959918735503526,,,
User_4,Hospital,Atorvastatin,Cardiovascular,414,7,0.9641079905915251,,,
User_4,Hospital,Simvastatin,Cardiovascular,194,13,0.9958003191468613,,,
User_4,Hospital,Lisinopril,Cardiovascular,181,10,0.8128778756592747,,,
User_4,Hospital,Amlodipine,Cardiovascular,464,25,0.933144074778231,,,
User_4,Hospital,Losartan,Cardiovascular,231,13,0.8272666027740929,,,
User_4,Hospital,Furosemide,Cardiovascular,395,25,0.7333592446918453,,,
User_4,Hospital,Hydrochlorothiazide,Cardiovascular,222,19,0.8215606260344251,,,
User_4,Hospital,Spironolactone,Cardiovascular,175,26,0.7356453748804216,,,
User_4,Hospital,Warfarin,Cardiovascular,366,15,0.9232634970829894,,,
User_4,Hospital,Clopidogrel,Cardiovascular,436,19,0.771251941387741,,,
User_4,Hospital,Dexamethasone,Immunosuppressant,240,23,0.7248673965080062,,,
User_4,Hospital,Prednisone,Immunosuppressant,466,12,0.8309007494819668,,,
User_4,Hospital,Hydrocortisone,Immunosuppressant,107,18,0.9933702006262812,,,
User_4,Hospital,Methotrexate,Immunosuppressant,222,21,0.9673429341094213,,,
User_4,Hospital,Mycophenolate,Immunosuppressant,423,27,0.9978894388357902,,,
User_4,Hospital,Levothyroxine,Endocrine,278,10,0.8661562853203962,,,
User_4,Hospital,Propylthiouracil,Endocrine,69,24,0.7498646295727759,,,
User_4,Hospital,Methimazole,Endocrine,354,20,0.7883481840518289,,,
User_4,Hospital,Fluoxetine,Psychiatric,50,27,0.9090775167591445,,,
User_4,Hospital,Sertraline,Psychiatric,308,22,0.9211302117529058,,,
User_4,Hospital,Diazepam,Psychiatric,61,16,0.9851234452229676,,,
User_4,Hospital,Lorazepam,Psychiatric,407,18,0.7320268197807652,,,
User_4,Hospital,Alprazolam,Psychiatric,422,14,0.7509039711686696,,,
User_4,Hospital,Haloperidol,Psychiatric,213,14,0.8060056684078158,,,
User_4,Hospital,Risperidone,Psychiatric,227,11,0.9923184422998499,,,
User_4,Hospital,Omeprazole,Gastrointestinal,241,28,0.7096947853328951,,,
User_4,Hospital,Ranitidine,Gastrointestinal,250,7,0.8233620162616558,,,
User_4,Hospital,Pantoprazole,Gastrointestinal,269,22,0.7487850818034674,,,
User_4,Hospital,Esomeprazole,Gastrointestinal,95,9,0.9467611728769507,,,
User_4,Hospital,Lansoprazole,Gastrointestinal,131,25,0.917715852516508,,,
User_5,Hospital,Paracetamol,Painkiller,352,8,0.7248245260105918,,,
User_5,Hospital,Ibuprofen,Painkiller,335,24,0.865476361763221,,,
User_5,Hospital,Aspirin,Painkiller,54,29,0.8233765349756107,,,
User_5,Hospital,Naproxen,Painkiller,423,7,0.8441110245599064,,,
User_5,Hospital,Ketoprofen,Painkiller,288,23,0.8130216909813822,,,
User_5,Hospital,Amoxicillin,Antibiotic,331,28,0.9487492662119543,,,
User_5,Hospital,Azithromycin,Antibiotic,226,19,0.7190535488770003,,,
User_5,Hospital,Ciprofloxacin,Antibiotic,154,9,0.7401556356401899,,,
User_5,Hospital,Doxycycline,Antibiotic,454,22,0.7226077181057387,,,
User_5,Hospital,Clindamycin,Antibiotic,246,11,0.9989910511221716,,,
User_5,Hospital,Oseltamivir,Antiviral,486,29,0.9306962245541531,,,
User_5,Hospital,Acyclovir,Antiviral,214,16,0.9548942172032234,,,
User_5,Hospital,Remdesivir,Antiviral,194,27,0.835163240593028,,,
User_5,Hospital,Favipiravir,Antiviral,415,7,0.9862153081776167,,,
User_5,Hospital,Zanamivir,Antiviral,254,10,0.7685928416510388,,,
User_5,Hospital,Metformin,Diabetes,418,14,0.8854384721373687,,,
User_5,Hospital,Insulin,Diabetes,397,14,0.7066554226090904,,,
User_5,Hospital,Glipizide,Diabetes,299,8,0.8428632090367042,,,
User_5,Hospital,Sitagliptin,Diabetes,308,24,0.955654450095562,,,
User_5,Hospital,Pioglitazone,Diabetes,103,18,0.8682813914606159,,,
User_5,Hospital,Atorvastatin,Cardiovascular,271,23,0.7402045685351922,,,
User_5,Hospital,Simvastatin,Cardiovascular,352,29,0.9265411767020857,,,
User_5,Hospital,Lisinopril,Cardiovascular,390,20,0.9112239304297671,,,
User_5,Hospital,Amlodipine,Cardiovascular,484,13,0.7409114426760309,,,
User_5,Hospital,Losartan,Cardiovascular,301,8,0.805176267641979,,,
User_5,Hospital,Furosemide,Cardiovascular,147,24,0.8176732135299196,,,
User_5,Hospital,Hydrochlorothiazide,Cardiovascular,396,25,0.9712476083481245,,,
User_5,Hospital,Spironolactone,Cardiovascular,357,12,0.8352731342248313,,,
User_5,Hospital,Warfarin,Cardiovascular,384,29,0.8570806828045033,,,
User_5,Hospital,Clopidogrel,Cardiovascular,130,11,0.9389415327021632,,,
User_5,Hospital,Dexamethasone,Immunosuppressant,187,23,0.8476348879238614,,,
User_5,Hospital,Prednisone,Immunosuppressant,389,11,0.9940097725856432,,,
User_5,Hospital,Hydrocortisone,Immunosuppressant,102,8,0.7986254830862525,,,
User_5,Hospital,Methotrexate,Immunosuppressant,284,17,0.7720436856334579,,,
User_5,Hospital,Mycophenolate,Immunosuppressant,420,21,0.7386639165731947,,,
User_5,Hospital,Levothyroxine,Endocrine,232,22,0.7455708080536882,,,
User_5,Hospital,Propylthiouracil,Endocrine,423,22,0.8922624234409644,,,
User_5,Hospital,Methimazole,Endocrine,409,10,0.8037001849971589,,,
User_5,Hospital,Fluoxetine,Psychiatric,244,9,0.8545708164592632,,,
User_5,Hospital,Sertraline,Psychiatric,209,24,0.880580618662288,,,
User_5,Hospital,Diazepam,Psychiatric,100,25,0.9465371910533348,,,
User_5,Hospital,Lorazepam,Psychiatric,141,16,0.753103145283024,,,
User_5,Hospital,Alprazolam,Psychiatric,454,12,0.7361907613301802,,,
User_5,Hospital,Haloperidol,Psychiatric,282,18,0.7619001155217378,,,
User_5,Hospital,Risperidone,Psychiatric,83,23,0.8510251812564571,,,
User_5,Hospital,Omeprazole,Gastrointestinal,350,15,0.7276871758686237,,,
User_5,Hospital,Ranitidine,Gastrointestinal,96,28,0.7245277095846615,,,
User_5,Hospital,Pantoprazole,Gastrointestinal,399,17,0.9762617201595439,,,
User_5,Hospital,Esomeprazole,Gastrointestinal,110,23,0.7830632944441611,,,
User_5,Hospital,Lansoprazole,Gastrointestinal,306,14,0.9244779071150975,,,
User_6,Apotics,Paracetamol,Painkiller,302,26,0.762804797001013,,,
User_6,Apotics,Ibuprofen,Painkiller,176,28,0.7708349599352212,,,
User_6,Apotics,Aspirin,Painkiller,77,29,0.8593797261920602,,,
User_6,Apotics,Naproxen,Painkiller,435,19,0.7187024087533724,,,
User_6,Apotics,Ketoprofen,Painkiller,236,25,0.9140048757653657,,,
User_6,Apotics,Amoxicillin,Antibiotic,160,29,0.8535032326346998,,,
User_6,Apotics,Azithromycin,Antibiotic,288,19,0.960164494322417,,,
User_6,Apotics,Ciprofloxacin,Antibiotic,343,9,0.8191491497512247,,,
User_6,Apotics,Doxycycline,Antibiotic,241,29,0.8131852489313868,,,
User_6,Apotics,Clindamycin,Antibiotic,251,13,0.7966237496749534,,,
User_6,Apotics,Oseltamivir,Antiviral,280,28,0.7982492056533743,,,
User_6,Apotics,Acyclovir,Antiviral,349,23,0.802878059283478,,,
User_6,Apotics,Remdesivir,Antiviral,74,10,0.8065312909837914,,,
User_6,Apotics,Favipiravir,Antiviral,282,19,0.843874630526275,,,
User_6,Apotics,Zanamivir,Antiviral,277,21,0.9210467426184739,,,
User_6,Apotics,Metformin,Diabetes,160,14,0.8759606303982277,,,
User_6,Apotics,Insulin,Diabetes,285,25,0.8136317877853868,,,
User_6,Apotics,Glipizide,Diabetes,150,12,0.9698942191435037,,,
User_6,Apotics,Sitagliptin,Diabetes,369,8,0.7733059466393963,,,
User_6,Apotics,Pioglitazone,Diabetes,364,19,0.7991045443842741,,,
User_6,Apotics,Atorvastatin,Cardiovascular,426,7,0.7022603089402224,,,
User_6,Apotics,Simvastatin,Cardiovascular,326,12,0.8096070459022173,,,
User_6,Apotics,Lisinopril,Cardiovascular,161,10,0.9552452553508439,,,
User_6,Apotics,Amlodipine,Cardiovascular,495,29,0.9526942105894545,,,
User_6,Apotics,Losartan,Cardiovascular,436,25,0.7054727444285083,,,
User_6,Apotics,Furosemide,Cardiovascular,278,10,0.9991766604305183,,,
User_6,Apotics,Hydrochlorothiazide,Cardiovascular,55,8,0.872799525341698,,,
User_6,Apotics,Spironolactone,Cardiovascular,124,10,0.7015900019192816,,,
User_6,Apotics,Warfarin,Cardiovascular,167,23,0.8472246337776353,,,
User_6,Apotics,Clopidogrel,Cardiovascular,484,8,0.8670288679041789,,,
User_6,Apotics,Dexamethasone,Immunosuppressant,441,25,0.9515747676107874,,,
User_6,Apotics,Prednisone,Immunosuppressant,182,12,0.9903982199512702,,,
User_6,Apotics,Hydrocortisone,Immunosuppressant,373,25,0.7598520782014959,,,
User_6,Apotics,Methotrexate,Immunosuppressant,69,23,0.858952006954335,,,
User_6,Apotics,Mycophenolate,Immunosuppressant,50,20,0.7865891659720767,,,
User_6,Apotics,Levothyroxine,Endocrine,342,17,0.9796043026770802,,,
User_6,Apotics,Propylthiouracil,Endocrine,382,17,0.8781649292673697,,,
User_6,Apotics,Methimazole,Endocrine,439,24,0.8362803916657299,,,
User_6,Apotics,Fluoxetine,Psychiatric,310,29,0.8646765939666932,,,
User_6,Apotics,Sertraline,Psychiatric,435,19,0.90537146436395,,,
User_6,Apotics,Diazepam,Psychiatric,133,7,0.7416474320326061,,,
User_6,Apotics,Lorazepam,Psychiatric,378,23,0.7350088192425044,,,
User_6,Apotics,Alprazolam,Psychiatric,448,12,0.8235522742441805,,,
User_6,Apotics,Haloperidol,Psychiatric,143,23,0.9552182380049363,,,
User_6,Apotics,Risperidone,Psychiatric,493,18,0.822555487880775,,,
User_6,Apotics,Omeprazole,Gastrointestinal,422,17,0.9815021370463113,,,
User_6,Apotics,Ranitidine,Gastrointestinal,125,9,0.7199488802100332,,,
User_6,Apotics,Pantoprazole,Gastrointestinal,345,28,0.7144283931892262,,,
User_6,Apotics,Esomeprazole,Gastrointestinal,398,14,0.9483822661532476,,,
User_6,Apotics,Lansoprazole,Gastrointestinal,278,20,0.9398611392758547,,,
User_7,Hospital,Paracetamol,Painkiller,340,27,0.7559214960364432,,,
User_7,Hospital,Ibuprofen,Painkiller,388,20,0.8569196274307358,,,
User_7,Hospital,Aspirin,Painkiller,181,19,0.876492002738517,,,
User_7,Hospital,Naproxen,Painkiller,451,14,0.8355845803897117,,,
User_7,Hospital,Ketoprofen,Painkiller,153,20,0.9699002335876519,,,
User_7,Hospital,Amoxicillin,Antibiotic,174,12,0.86193431857439,,,
User_7,Hospital,Azithromycin,Antibiotic,112,21,0.8732458812718377,,,
User_7,Hospital,Ciprofloxacin,Antibiotic,194,7,0.8174446330604506,,,
User_7,Hospital,Doxycycline,Antibiotic,499,20,0.7199857337172451,,,
User_7,Hospital,Clindamycin,Antibiotic,153,25,0.8628547931840227,,,
User_7,Hospital,Oseltamivir,Antiviral,247,12,0.7998447357737453,,,
User_7,Hospital,Acyclovir,Antiviral,228,14,0.9081152822210015,,,
User_7,Hospital,Remdesivir,Antiviral,64,21,0.886021826778554,,,
User_7,Hospital,Favipiravir,Antiviral,280,10,0.999307784777153,,,
User_7,Hospital,Zanamivir,Antiviral,490,7,0.9120941383730377,,,
User_7,Hospital,Metformin,Diabetes,460,29,0.7429383956645409,,,
User_7,Hospital,Insulin,Diabetes,245,28,0.9142192246670843,,,
User_7,Hospital,Glipizide,Diabetes,54,16,0.8026245246147722,,,
User_7,Hospital,Sitagliptin,Diabetes,343,19,0.7331895210865621,,,
User_7,Hospital,Pioglitazone,Diabetes,277,19,0.7382465986995946,,,
User_7,Hospital,Atorvastatin,Cardiovascular,233,21,0.9391886097338661,,,
User_7,Hospital,Simvastatin,Cardiovascular,310,21,0.822686553125648,,,
User_7,Hospital,Lisinopril,Cardiovascular,222,8,0.7036609216954133,,,
User_7,Hospital,Amlodipine,Cardiovascular,164,25,0.8696525041968921,,,
User_7,Hospital,Losartan,Cardiovascular,331,17,0.879708809433198,,,
User_7,Hospital,Furosemide,Cardiovascular,197,17,0.9877224383692083,,,
User_7,Hospital,Hydrochlorothiazide,Cardiovascular,409,12,0.768205294908996,,,
User_7,Hospital,Spironolactone,Cardiovascular,72,21,0.7863788849427178,,,
User_7,Hospital,Warfarin,Cardiovascular,412,18,0.9735557226528895,,,
User_7,Hospital,Clopidogrel,Cardiovascular,153,24,0.8834362706303943,,,
User_7,Hospital,Dexamethasone,Immunosuppressant,160,14,0.9616371726832454,,,
User_7,Hospital,Prednisone,Immunosuppressant,405,22,0.9089952471630677,,,
User_7,Hospital,Hydrocortisone,Immunosuppressant,425,11,0.9121715902940195,,,
User_7,Hospital,Methotrexate,Immunosuppressant,155,23,0.872886508050044,,,
User_7,Hospital,Mycophenolate,Immunosuppressant,427,15,0.8272392013907157,,,
User_7,Hospital,Levothyroxine,Endocrine,78,20,0.9803101044307044,,,
User_7,Hospital,Propylthiouracil,Endocrine,263,17,0.8352518114212396,,,
User_7,Hospital,Methimazole,Endocrine,351,11,0.9954523596887004,,,
User_7,Hospital,Fluoxetine,Psychiatric,159,10,0.73739880436098,,,
User_7,Hospital,Sertraline,Psychiatric,362,7,0.9609689086186385,,,
User_7,Hospital,Diazepam,Psychiatric,104,25,0.8773826307234788,,,
User_7,Hospital,Lorazepam,Psychiatric,198,21,0.7164284916466094,,,
User_7,Hospital,Alprazolam,Psychiatric,186,16,0.9408560345794035,,,
User_7,Hospital,Haloperidol,Psychiatric,166,15,0.7342801900167063,,,
User_7,Hospital,Risperidone,Psychiatric,293,17,0.9768880695395454,,,
User_7,Hospital,Omeprazole,Gastrointestinal,440,24,0.844251093426722,,,
User_7,Hospital,Ranitidine,Gastrointestinal,396,23,0.8761204672409701,,,
User_7,Hospital,Pantoprazole,Gastrointestinal,492,18,0.9738248388637387,,,
User_7,Hospital,Esomeprazole,Gastrointestinal,231,13,0.7496539952283922,,,
User_7,Hospital,Lansoprazole,Gastrointestinal,393,7,0.8087181697349899,,,
User_8,Hospital,Paracetamol,Painkiller,112,17,0.8896792863758591,,,
User_8,Hospital,Ibuprofen,Painkiller,205,24,0.8990612116050132,,,
User_8,Hospital,Aspirin,Painkiller,386,26,0.8376966964051039,,,
